id,last_scraped,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,host_is_superhost,instant_bookable,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
984360729107076795,2023-12-14,Downtown,49.2789101,-123.1079938,Entire home/apt,6,1 bath,2,$199.00,12,FALSE,TRUE,1,5,165,1
985167961387919079,2023-12-13,Renfrew-Collingwood,49.25754,-123.03605,Entire home/apt,4,1 bath,2,$132.00,1,TRUE,FALSE,5,5,336,6
985187428144797676,2023-12-13,Marpole,49.20771209999999,-123.1358523,Private room,1,1 bath,1,$50.00,30,NA,FALSE,0,NA,270,1
985430168426223342,2023-12-13,Oakridge,49.228197805090005,-123.10652263265166,Private room,2,1 bath,1,$55.00,7,TRUE,FALSE,1,5,45,4
985515962168883270,2023-12-14,Sunset,49.21991787150179,-123.08875050193402,Private room,2,1 private bath,1,$64.00,1,FALSE,TRUE,6,5,0,8
985557360850470093,2023-12-13,Sunset,49.21856,-123.09039,Private room,2,1 private bath,1,$58.00,1,FALSE,TRUE,10,4.7,270,8
985561680320077718,2023-12-14,Downtown Eastside,49.2811219,-123.1062678,Entire home/apt,4,1 bath,2,$120.00,1,FALSE,FALSE,24,4.96,37,1
985567354682381122,2023-12-13,Sunset,49.21968,-123.08893,Private room,3,1 private bath,1,$58.00,1,FALSE,TRUE,9,4.67,204,8
985716500423410416,2023-12-13,Grandview-Woodland,49.2695672774688,-123.07440036868124,Entire home/apt,4,1 bath,2,$111.00,1,FALSE,FALSE,14,4.79,325,2
986014557307992377,2023-12-14,Downtown,49.2792813,-123.1065474,Entire home/apt,4,1 bath,2,$119.00,1,FALSE,TRUE,10,5,119,43
986194063240163210,2023-12-14,Kensington-Cedar Cottage,49.23440082203992,-123.06161175017024,Entire home/apt,4,2 baths,2,$180.00,2,FALSE,TRUE,5,5,82,1
986273328824311178,2023-12-13,Downtown,49.27325779902564,-123.1198046116394,Entire home/apt,2,1 bath,1,$199.00,30,TRUE,FALSE,0,NA,200,1
986297669584138529,2023-12-14,Kerrisdale,49.22396670347913,-123.1405466408159,Entire home/apt,6,2 baths,3,$169.00,2,FALSE,FALSE,7,5,245,1
986515754825534706,2023-12-14,Downtown,49.27421178336624,-123.127963474306,Entire home/apt,6,3 baths,3,$350.00,30,TRUE,TRUE,0,NA,36,2
986520508459360335,2023-12-14,Downtown,49.27781951524701,-123.12673207372428,Private room,1,1 bath,1,$144.00,1,FALSE,FALSE,2,5,269,2
986615721167826658,2023-12-14,Hastings-Sunrise,49.26385339785275,-123.04023694852722,Private room,1,1 bath,1,$45.00,30,FALSE,FALSE,0,NA,27,3
987313787581704210,2023-12-14,Downtown,49.27949,-123.11722,Entire home/apt,4,2 baths,2,$194.00,30,FALSE,TRUE,1,5,89,3
987322304187456060,2023-12-14,Downtown,49.27641,-123.12797,Entire home/apt,4,2 baths,2,$200.00,30,FALSE,TRUE,0,NA,89,3
987332790690380385,2023-12-14,Downtown,49.27722,-123.1177,Entire home/apt,3,1 bath,2,$320.00,30,FALSE,TRUE,0,NA,78,3
987561088102095431,2023-12-14,Kensington-Cedar Cottage,49.24355110299699,-123.057681160536,Entire home/apt,4,1 bath,2,$97.00,1,FALSE,FALSE,0,NA,142,10
987727780489177894,2023-12-14,Killarney,49.205,-123.02972,Private room,2,1 private bath,1,NA,30,FALSE,FALSE,0,NA,0,1
987798695736311497,2023-12-14,Victoria-Fraserview,49.2242743,-123.0770833,Private room,4,1 bath,2,$220.00,1,FALSE,FALSE,0,NA,269,3
987882991385912300,2023-12-14,Downtown,49.28085726609777,-123.1261843156238,Entire home/apt,2,1 bath,1,$160.00,30,FALSE,FALSE,0,NA,199,4
987981834285241583,2023-12-14,Downtown Eastside,49.2781168,-123.0995864,Entire home/apt,3,1 bath,2,$136.00,1,FALSE,TRUE,25,5,0,1
988040887225812980,2023-12-14,Hastings-Sunrise,49.26343,-123.03701,Entire home/apt,6,1.5 baths,3,$368.00,3,TRUE,FALSE,0,NA,16,2
988084293034320864,2023-12-14,Kensington-Cedar Cottage,49.24558977467438,-123.05779161572634,Entire home/apt,6,2 baths,4,$153.00,1,FALSE,FALSE,2,4,131,10
988378886878352694,2023-12-14,Killarney,49.2290904,-123.0281432,Entire home/apt,2,1 bath,1,$150.00,1,FALSE,TRUE,1,5,262,2
988393883952722093,2023-12-13,Riley Park,49.25107798660785,-123.10011921961598,Entire home/apt,4,1 bath,2,$142.00,3,TRUE,FALSE,5,5,95,2
988421783294353435,2023-12-14,Downtown,49.28840047837198,-123.1184661597674,Entire home/apt,2,1 bath,1,$123.00,1,TRUE,TRUE,6,5,145,1
988468895195855953,2023-12-14,Downtown Eastside,49.28148739055584,-123.10385086389182,Entire home/apt,2,1 bath,1,$229.00,30,TRUE,TRUE,0,NA,192,2
988505408817590644,2023-12-14,Downtown Eastside,49.28298885563535,-123.1022394926678,Entire home/apt,2,1 bath,1,$270.00,30,TRUE,TRUE,0,NA,154,7
988532047627713512,2023-12-14,Victoria-Fraserview,49.20834012747199,-123.07001077568918,Entire home/apt,3,1 bath,2,$97.00,1,TRUE,TRUE,1,5,0,5
988652996758441490,2023-12-13,Riley Park,49.244034023692485,-123.10084770135737,Private room,4,1.5 shared baths,2,$196.00,30,FALSE,TRUE,0,NA,264,1
988772827456037268,2023-12-14,Oakridge,49.2301462,-123.1069763,Entire home/apt,4,1.5 baths,2,$133.00,1,TRUE,FALSE,3,5,335,6
989075376831474595,2023-12-14,West End,49.28224418276974,-123.12620793138034,Entire home/apt,2,1 bath,1,$132.00,30,FALSE,FALSE,0,NA,167,4
989080912251033247,2023-12-14,Downtown,49.28045640332324,-123.12635905503264,Entire home/apt,2,1 bath,1,$130.00,30,FALSE,FALSE,0,NA,208,4
989281400097097839,2023-12-13,Downtown,49.2746415,-123.1151479,Entire home/apt,2,1 bath,1,$115.00,30,FALSE,FALSE,0,NA,99,42
989359976835722107,2023-12-14,Riley Park,49.24373802711063,-123.094598610716,Entire home/apt,2,1 bath,1,$70.00,4,TRUE,FALSE,2,5,71,3
989416131498746922,2023-12-13,Sunset,49.21648,-123.10442,Entire home/apt,3,1 bath,2,$89.00,30,FALSE,FALSE,0,NA,154,4
989528040636523304,2023-12-14,Sunset,49.22084692648024,-123.10473321962996,Entire home/apt,10,5 baths,5,$599.00,30,FALSE,FALSE,0,NA,117,4
989776083447399183,2023-12-14,Downtown,49.2773,-123.12759,Entire home/apt,4,1 bath,1,NA,30,FALSE,FALSE,0,NA,192,1
989847180255275270,2023-12-13,West Point Grey,49.26424929505056,-123.21052085513628,Entire home/apt,4,1 bath,3,$140.00,30,TRUE,FALSE,0,NA,269,1
989894119463722875,2023-12-14,Victoria-Fraserview,49.231747397962046,-123.05076533617007,Entire home/apt,2,1 bath,1,$125.00,30,TRUE,FALSE,1,5,89,4
989932599272651035,2023-12-14,Grandview-Woodland,49.27053,-123.06965,Entire home/apt,2,1 bath,1,$100.00,2,FALSE,FALSE,5,4.67,0,1
